Topic,Count,Name,Representation,Representative_Docs
21,1120,21_tyre_bike_pressure_deliberately,"['tyre', 'bike', 'pressure', 'deliberately', 'info', 'hard', 'read', 'is', 'to', '']","['Is bike tyre pressure info deliberately hard to read?', 'Is bike tyre pressure info deliberately hard to read?', 'Is bike tyre pressure info deliberately hard to read?']"
22,1117,22_subshell_failure_fails_bash,"['subshell', 'failure', 'fails', 'bash', 'return', 'any', 'command', 'when', 'from', 'doens']","['Bash: return failure from subshell when any command fails', 'Bash: return failure from subshell when any command fails', 'Bash: return failure from subshell when any command fails']"
23,1113,23_jewish_gospel_peter_acts,"['jewish', 'gospel', 'peter', 'acts', 'people', 'know', '10', 'only', 'not', 'does']","['In Acts 10 why does Peter not know the gospel is not only for the Jewish people?', 'In Acts 10 why does Peter not know the gospel is not only for the Jewish people?', 'In Acts 10 why does Peter not know the gospel is not only for the Jewish people?']"
24,1108,24_pzn_valid_this_is,"['pzn', 'valid', 'this', 'is', '', '', '', '', '', '']","['Is this a valid PZN?', 'Is this a valid PZN?', 'Is this a valid PZN?']"
25,1105,25_rely_software_apple_included,"['rely', 'software', 'apple', 'included', 'tools', 'xcode', 'line', 'command', 'python', 'does']","['Does Apple software rely on the Python included in Xcode Command Line Tools?', 'Does Apple software rely on the Python included in Xcode Command Line Tools?', 'Does Apple software rely on the Python included in Xcode Command Line Tools?']"
26,1101,26_settlements_planetary_livestock_newer,"['settlements', 'planetary', 'livestock', 'newer', 'raise', 'only', 'why', 'in', '', '']","['Why raise livestock only in newer planetary settlements?', 'Why raise livestock only in newer planetary settlements?', 'Why raise livestock only in newer planetary settlements?']"
27,1098,27_quantize_goes_explain_physicist,"['quantize', 'goes', 'explain', 'physicist', 'trying', 'gravity', 'wrong', 'non', 'when', 'what']","['Explain to a non-physicist what goes wrong when trying to quantize gravity', 'Explain to a non-physicist what goes wrong when trying to quantize gravity', 'Explain to a non-physicist what goes wrong when trying to quantize gravity']"
28,1085,28_offensive_lebanon_israeli_among,"['offensive', 'lebanon', 'israeli', 'among', 'ground', 'support', 'public', 'much', 'have', 'does']","['How much support does a ground offensive in Lebanon have among the Israeli public?', 'How much support does a ground offensive in Lebanon have among the Israeli public?', 'How much support does a ground offensive in Lebanon have among the Israeli public?']"
29,1083,29_paid_circumstances_control_outside,"['paid', 'circumstances', 'control', 'outside', 'due', 'should', 'work', 'get', 'if', 'my']","[""What should I get paid for if I can't work due to circumstances outside of my control?"", ""What should I get paid for if I can't work due to circumstances outside of my control?"", ""What should I get paid for if I can't work due to circumstances outside of my control?""]"
30,1075,30_ratings_lichess_chess_com,"['ratings', 'lichess', 'chess', 'com', 'pull', 'automatically', 'from', 'and', 'how', 'to']","['How to pull ratings from Chess.com and Lichess automatically?', 'How to pull ratings from Chess.com and Lichess automatically?', 'How to pull ratings from Chess.com and Lichess automatically?']"
31,1067,31_led_drain_battery_circuit,"['led', 'drain', 'battery', 'circuit', 'short', 'off', 'will', 'turn', 'this', 'an']","['Will this short circuit to turn off an LED drain the battery?', 'Will this short circuit to turn off an LED drain the battery?', 'Will this short circuit to turn off an LED drain the battery?']"
32,1065,32_torah_chidushei_immediately_writing,"['torah', 'chidushei', 'immediately', 'writing', '', '', '', '', '', '']","['Writing Chidushei Torah Immediately', 'Writing Chidushei Torah Immediately', 'Writing Chidushei Torah Immediately']"
33,1062,33_neurodiversity_pilot_becomes_child,"['neurodiversity', 'pilot', 'becomes', 'child', 'short', 'story', 'about', 'that', 'with', '']","['Short story about child with neurodiversity that becomes pilot', 'Short story about child with neurodiversity that becomes pilot', 'Short story about child with neurodiversity that becomes pilot']"
34,1061,34_aliens_2000s_ships_sci,"['aliens', '2000s', 'ships', 'sci', 'tv', 'fi', 'beautiful', 'came', 'had', 'early']","['1990s-early 2000s sci-fi TV show about aliens who came to earth and had beautiful white ships', '1990s-early 2000s sci-fi TV show about aliens who came to earth and had beautiful white ships', '1990s-early 2000s sci-fi TV show about aliens who came to earth and had beautiful white ships']"
35,1060,35_fever_creek_hitler_boy,"['fever', 'creek', 'hitler', 'boy', 'angel', 'grows', 'falls', 'saved', 'up', 'story']","['A story about a boy with a fever who falls in the creek and is saved by an angel and grows up to be Hitler', 'A story about a boy with a fever who falls in the creek and is saved by an angel and grows up to be Hitler', 'A story about a boy with a fever who falls in the creek and is saved by an angel and grows up to be Hitler']"
36,1060,36_military_apocalyptic_post_,"['military', 'apocalyptic', 'post', '', '', '', '', '', '', '']","['Post Apocalyptic Military', 'Post Apocalyptic Military', 'Post Apocalyptic Military']"
37,1058,37_metronome_markings_signature_interpret,"['metronome', 'markings', 'signature', 'interpret', 'time', 'should', 'if', 'and', 'the', 'is']","['Metronome markings and 3/8 time signature. How should I interpret the metronome markings if the time signature is 3/8?', 'Metronome markings and 3/8 time signature. How should I interpret the metronome markings if the time signature is 3/8?', 'Metronome markings and 3/8 time signature. How should I interpret the metronome markings if the time signature is 3/8?']"
38,1055,38_inventory_output_sequence_the,"['inventory', 'output', 'sequence', 'the', 'invoices', 'quantity', 'smart', 'grouping', 'item', 'standard']","['Output the inventory sequence', 'Output the inventory sequence', 'Output the inventory sequence']"
39,1052,39_schrödinger_relativistic_better_effects,"['schrödinger', 'relativistic', 'better', 'effects', 'equation', 'with', '', '', '', '']","['A better Schrödinger Equation with Relativistic Effects?', 'A better Schrödinger Equation with Relativistic Effects?', 'A better Schrödinger Equation with Relativistic Effects?']"
40,1052,40_incompleteness_godel_paradox_proof,"['incompleteness', 'godel', 'paradox', 'proof', 'theorem', 'there', 'is', 'of', 'in', 'the']","[""Is there a paradox in the proof of Godel's incompleteness theorem?"", ""Is there a paradox in the proof of Godel's incompleteness theorem?"", ""Is there a paradox in the proof of Godel's incompleteness theorem?""]"
41,1048,41_centerless_subgroup_trivial_normal,"['centerless', 'subgroup', 'trivial', 'normal', 'exactly', 'simple', 'group', 'non', 'one', 'with']","['Non-Simple, Centerless Group With Exactly One Non-Trivial Normal Subgroup', 'Non-Simple, Centerless Group With Exactly One Non-Trivial Normal Subgroup', 'Non-Simple, Centerless Group With Exactly One Non-Trivial Normal Subgroup']"
42,1047,42_impersonal_sections_isn_main,"['impersonal', 'sections', 'isn', 'main', 'usually', 'method', 'text', 'when', 'are', 'why']","['Why are method sections usually impersonal, when the main text isn’t?', 'Why are method sections usually impersonal, when the main text isn’t?', 'Why are method sections usually impersonal, when the main text isn’t?']"
43,1039,43_equilateral_geometry_grid_nodes,"['equilateral', 'geometry', 'grid', 'nodes', 'make', 'triangle', 'an', 'with', 'how', 'to']","['How to make an Equilateral Triangle Grid with Geometry Nodes?', 'How to make an Equilateral Triangle Grid with Geometry Nodes?', 'How to make an Equilateral Triangle Grid with Geometry Nodes?']"
44,1032,44_cleartype_rainbow_reinstall_borders,"['cleartype', 'rainbow', 'reinstall', 'borders', 'adjusting', 'driver', 'resolve', 'effect', 'see', 'issue']","[""I see rainbow effect on the borders of objects and text, adjusting ClearType or driver reinstall doesn't resolve the issue"", ""I see rainbow effect on the borders of objects and text, adjusting ClearType or driver reinstall doesn't resolve the issue"", ""I see rainbow effect on the borders of objects and text, adjusting ClearType or driver reinstall doesn't resolve the issue""]"
45,1026,45_ic_4066_3v_work,"['ic', '4066', '3v', 'work', 'at', 'can', '', '', '', '']","['Can a 4066 IC work at 3.3V?', 'Can a 4066 IC work at 3.3V?', 'Can a 4066 IC work at 3.3V?']"
46,1024,46_xz_vulnerable_brew_ubuntu,"['xz', 'vulnerable', 'brew', 'ubuntu', 'on', 'is', '', '', '', '']","['Is xz on brew on Ubuntu vulnerable?', 'Is xz on brew on Ubuntu vulnerable?', 'Is xz on brew on Ubuntu vulnerable?']"
47,1022,47_medals_ww2_fathers_obtain,"['medals', 'ww2', 'fathers', 'obtain', 'my', 'from', 'can', 'how', 'ssa', 'gaining']","[""How can I obtain my fathers' medals from WW2?"", ""How can I obtain my fathers' medals from WW2?"", ""How can I obtain my fathers' medals from WW2?""]"
48,1021,48_ragged_transform_sequence_into,"['ragged', 'transform', 'sequence', 'into', 'list', '', '', '', '', '']","['Transform sequence into ragged list', 'Transform sequence into ragged list', 'Transform sequence into ragged list']"
49,1004,49_translations_romans_ones_modern,"['translations', 'romans', 'ones', 'modern', 'differ', 'old', '22', 'or', 'from', 'why']","['Romans 3:22 – ‘of’ or ‘in’? Old translations differ from modern ones. Why?', 'Romans 3:22 – ‘of’ or ‘in’? Old translations differ from modern ones. Why?', 'Romans 3:22 – ‘of’ or ‘in’? Old translations differ from modern ones. Why?']"
50,999,50_worldviews_morality_atheistic_agnostic,"['worldviews', 'morality', 'atheistic', 'agnostic', 'basis', 'according', 'what', 'for', 'is', 'the']","['According to Atheistic/Agnostic Worldviews, what is the basis for morality?', 'According to Atheistic/Agnostic Worldviews, what is the basis for morality?', 'According to Atheistic/Agnostic Worldviews, what is the basis for morality?']"
51,995,51_bread_hungry_delicious_saying,"['bread', 'hungry', 'delicious', 'saying', 'also', 'very', 'similar', 'you', 'expression', 'have']","['Do you have an expression saying ""when you are very hungry, bread is also delicious for you"" or similar one?', 'Do you have an expression saying ""when you are very hungry, bread is also delicious for you"" or similar one?', 'Do you have an expression saying ""when you are very hungry, bread is also delicious for you"" or similar one?']"
52,995,52_aman_fourth_fate_elves,"['aman', 'fourth', 'fate', 'elves', 'leaving', 'age', 'bound', 'world', 'its', 'while']","['Elves leaving for Aman by the Fourth Age, while bound to the world and its fate', 'Elves leaving for Aman by the Fourth Age, while bound to the world and its fate', 'Elves leaving for Aman by the Fourth Age, while bound to the world and its fate']"
53,993,53_gpg_marked_key_personal,"['gpg', 'marked', 'key', 'personal', 'as', 'why', 'is', 'in', 'keypath', 'used']","['Why is a key marked as a ""Personal Key"" in gpg?', 'Why is a key marked as a ""Personal Key"" in gpg?', 'Why is a key marked as a ""Personal Key"" in gpg?']"
54,985,54_constructions_rubik_cube_article,"['constructions', 'rubik', 'cube', 'article', 'often', 'although', 'usually', 'don', 'name', 'other']","['Why is an article often used with (the) Rubik\'s cube, although other ""name+\'s"" constructions usually don\'t use one?', 'Why is an article often used with (the) Rubik\'s cube, although other ""name+\'s"" constructions usually don\'t use one?', 'Why is an article often used with (the) Rubik\'s cube, although other ""name+\'s"" constructions usually don\'t use one?']"
55,967,55_emails_mathematical__,"['emails', 'mathematical', '', '', '', '', '', '', '', '']","['Mathematical emails', 'Mathematical emails', 'Mathematical emails']"
56,964,56_acting_mirror_homebrew_spell,"['acting', 'mirror', 'homebrew', 'spell', 'way', 'one', 'as', '', '', '']","['Homebrew spell acting as one-way mirror', 'Homebrew spell acting as one-way mirror', 'Homebrew spell acting as one-way mirror']"
57,961,57_leaders_rulers_and_,"['leaders', 'rulers', 'and', '', '', '', '', '', '', '']","['Leaders and Rulers', 'Leaders and Rulers', 'Leaders and Rulers']"
58,952,58_seatac_vintage_airport_photo,"['seatac', 'vintage', 'airport', 'photo', '', '', '', '', '', '']","['Vintage photo, Seatac airport', 'Vintage photo, Seatac airport', 'Vintage photo, Seatac airport']"
59,949,59_indifferent_familiar_towards_phrase,"['indifferent', 'familiar', 'towards', 'phrase', 'things', 'means', 'you', 'are', 'that', 'with']","['A phrase that means you are indifferent towards the things you are familiar with?', 'A phrase that means you are indifferent towards the things you are familiar with?', 'A phrase that means you are indifferent towards the things you are familiar with?']"
60,944,60_carpet_rooms_wider_roll,"['carpet', 'rooms', 'wider', 'roll', 'installed', 'width', 'than', 'be', 'can', 'the']","['How can carpet be installed in rooms wider than the width of the carpet roll?', 'How can carpet be installed in rooms wider than the width of the carpet roll?', 'How can carpet be installed in rooms wider than the width of the carpet roll?']"
61,938,61_supernovae_ii_doubt_type,"['supernovae', 'ii', 'doubt', 'type', 'in', '', '', '', '', '']","['Doubt in type II supernovae', 'Doubt in type II supernovae', 'Doubt in type II supernovae']"
62,924,62_rectangles_approximating_country_by,"['rectangles', 'approximating', 'country', 'by', 'surrounding', 'minimal', 'rectangle', 'coordinates', 'algorithm', 'determine']","['Approximating country by rectangles', 'Approximating country by rectangles', 'Approximating country by rectangles']"
63,921,63_circshift_matlab_efficient_so,"['circshift', 'matlab', 'efficient', 'so', 'function', 'why', 'is', 'how', '', '']","[""Why/How is Matlab's circshift function so efficient?"", ""Why/How is Matlab's circshift function so efficient?"", ""Why/How is Matlab's circshift function so efficient?""]"
64,871,64_prophecy_spirit_cessationalists_apostleship,"['prophecy', 'spirit', 'cessationalists', 'apostleship', 'manifestations', 'gift', 'tongues', 'target', 'especially', 'other']","['Why is it that cessationalists especially target the gift of prophecy and tongues, and apostleship, vs other manifestations of the Spirit?', 'Why is it that cessationalists especially target the gift of prophecy and tongues, and apostleship, vs other manifestations of the Spirit?', 'Why is it that cessationalists especially target the gift of prophecy and tongues, and apostleship, vs other manifestations of the Spirit?']"
65,865,65_extended_counter_looping_enumerating,"['extended', 'counter', 'looping', 'enumerating', 'anti', 'counting', 'basic', 'assignment', 'loop', 'them']","['Looping counter extended', 'Looping counter extended', 'Looping counter extended']"
66,862,66_coloring_broken_row_why,"['coloring', 'broken', 'row', 'why', 'is', 'the', 'vertex', 'opengl', 'drawn', 'each']","['Why is the row coloring broken?', 'Why is the row coloring broken?', 'Why is the row coloring broken?']"
67,849,67_airplanes_takeoff_degrees_180,"['airplanes', 'takeoff', 'degrees', '180', 'sometimes', 'more', 'turn', 'after', 'than', 'do']","['Why do airplanes sometimes turn more than 180 degrees after takeoff?', 'Why do airplanes sometimes turn more than 180 degrees after takeoff?', 'Why do airplanes sometimes turn more than 180 degrees after takeoff?']"
68,838,68_terrain_plane_noise_conforming,"['terrain', 'plane', 'noise', 'conforming', 'shape', 'tool', 'another', 'custom', 'to', '']","['Conforming Another Noise Tool Terrain to Custom Plane Shape?', 'Conforming Another Noise Tool Terrain to Custom Plane Shape?', 'Conforming Another Noise Tool Terrain to Custom Plane Shape?']"
69,831,69_feeler_translation_french_what,"['feeler', 'translation', 'french', 'what', 'is', 'of', 'in', 'the', 'parabolically', 'translate']","['What is the translation of a feeler in French?', 'What is the translation of a feeler in French?', 'What is the translation of a feeler in French?']"
70,813,70_heuristics_applicability_approximation_meta,"['heuristics', 'applicability', 'approximation', 'meta', 'algorithms', 'practice', 'vs', 'of', 'in', '']","['Applicability of approximation algorithms vs meta-heuristics in practice', 'Applicability of approximation algorithms vs meta-heuristics in practice', 'Applicability of approximation algorithms vs meta-heuristics in practice']"
71,809,71_universities_shortlist_candidates_german,"['universities', 'shortlist', 'candidates', 'german', 'notify', 'been', 'put', 'common', 'who', 'have']","['Is it common for German universities to not notify candidates who have not been put on a shortlist?', 'Is it common for German universities to not notify candidates who have not been put on a shortlist?', 'Is it common for German universities to not notify candidates who have not been put on a shortlist?']"
72,801,72_sump_pump_brand_leak,"['sump', 'pump', 'brand', 'leak', 'expected', 'new', 'this', 'from', 'is', '']","['Is this ""leak"" expected from a brand new sump pump?', 'Is this ""leak"" expected from a brand new sump pump?', 'Is this ""leak"" expected from a brand new sump pump?']"
73,799,73_diverse_population_say_idiomatic,"['diverse', 'population', 'say', 'idiomatic', 'home', 'it', 'to', 'is', '', '']","['Is it idiomatic to say ""home to diverse population""?', 'Is it idiomatic to say ""home to diverse population""?', 'Is it idiomatic to say ""home to diverse population""?']"
74,798,74_radiation_accelerating_expansion_caused,"['radiation', 'accelerating', 'expansion', 'caused', 'universe', 'by', 'not', 'why', 'of', '']","['Accelerating Expansion of Universe - Why Not Caused by Radiation?', 'Accelerating Expansion of Universe - Why Not Caused by Radiation?', 'Accelerating Expansion of Universe - Why Not Caused by Radiation?']"
75,797,75_governments_superbacteria_incentivizes_ignorant,"['governments', 'superbacteria', 'incentivizes', 'ignorant', 'dns', 'servers', 'such', 'problems', 'open', 'public']","['What incentivizes governments to address problems the public is ignorant about, such as superbacteria or open DNS servers?', 'What incentivizes governments to address problems the public is ignorant about, such as superbacteria or open DNS servers?', 'What incentivizes governments to address problems the public is ignorant about, such as superbacteria or open DNS servers?']"
76,793,76_conference_compromise_laptop_risk,"['conference', 'compromise', 'laptop', 'risk', 'machine', 'against', 'push', 'back', 'request', 'personal']","['How to push back against request to use personal laptop at conference due to risk of machine compromise', 'How to push back against request to use personal laptop at conference due to risk of machine compromise', 'How to push back against request to use personal laptop at conference due to risk of machine compromise']"
77,791,77_ward_loyalty_band_interact,"['ward', 'loyalty', 'band', 'interact', 'death', 'does', 'with', 'how', 'of', '']","['How does Death Ward interact with Band of Loyalty?', 'How does Death Ward interact with Band of Loyalty?', 'How does Death Ward interact with Band of Loyalty?']"
78,787,78_acclimate_oxygen_air_adapting,"['acclimate', 'oxygen', 'air', 'adapting', 'slowly', 'capable', 'person', 'enough', 'lower', 'average']","['Is the average person capable of adapting to a lower oxygen content in the air than earth, given enough time to slowly acclimate?', 'Is the average person capable of adapting to a lower oxygen content in the air than earth, given enough time to slowly acclimate?', 'Is the average person capable of adapting to a lower oxygen content in the air than earth, given enough time to slowly acclimate?']"
79,767,79_damage_bonus_aasimar_half,"['damage', 'bonus', 'aasimar', 'half', 'plus', 'save', 'spell', 'for', '', '']","['Aasimar bonus damage plus ""Save for half""-spell', 'Aasimar bonus damage plus ""Save for half""-spell', 'Aasimar bonus damage plus ""Save for half""-spell']"
80,763,80_riemann_weierstrass_gave_counterexample,"['riemann', 'weierstrass', 'gave', 'counterexample', 'mapping', 'was', 'death', 'theorem', 'after', 'that']","[""Was it after Riemann's death that Weierstrass gave a counterexample to Riemann's mapping theorem?"", ""Was it after Riemann's death that Weierstrass gave a counterexample to Riemann's mapping theorem?"", ""Was it after Riemann's death that Weierstrass gave a counterexample to Riemann's mapping theorem?""]"
81,759,81_elementary_embeddings_ac_forms,"['elementary', 'embeddings', 'ac', 'forms', 'weak', 'proof', 'use', 'for', 'of', '']","['Use of (weak forms of) AC for elementary embeddings proof', 'Use of (weak forms of) AC for elementary embeddings proof', 'Use of (weak forms of) AC for elementary embeddings proof']"
82,756,82_matrix_class_python_sparse,"['matrix', 'class', 'python', 'sparse', 'scipy', 'symmetrization', 'triangular', 'matrices', 'of', '']","['Python matrix class', 'Python matrix class', 'Python matrix class']"
83,732,83_voight_1997_jon_being,"['voight', '1997', 'jon', 'being', 'faking', 'blind', 'turn', 'is', 'in', '']","['Is Jon Voight faking being blind in ""U Turn"" (1997)?', 'Is Jon Voight faking being blind in ""U Turn"" (1997)?', 'Is Jon Voight faking being blind in ""U Turn"" (1997)?']"
84,732,84_launching_04_execution_incorrect,"['launching', '04', 'execution', 'incorrect', 'ubuntu', '22', 'code', 'after', 'command', 'vs']","['VS Code not launching after incorrect command execution on Ubuntu 22.04', 'VS Code not launching after incorrect command execution on Ubuntu 22.04', 'VS Code not launching after incorrect command execution on Ubuntu 22.04']"
85,730,85_power_mosfet_amplifier_accurate,"['power', 'mosfet', 'amplifier', 'accurate', 'calculations', 'my', 'this', 'are', 'on', '']","['Are my power calculations on this MOSFET Power Amplifier accurate?', 'Are my power calculations on this MOSFET Power Amplifier accurate?', 'Are my power calculations on this MOSFET Power Amplifier accurate?']"
86,679,86_japanese_here_mean_used,"['japanese', 'here', 'mean', 'used', 'as', 'does', 'what', 'comonad', 'in', 'the']","['What does ""the"" mean here? (As used in Japanese)', 'What does ""the"" mean here? (As used in Japanese)', 'What does ""the"" mean here? (As used in Japanese)']"
87,669,87_undergraduate_supervisors_co_must,"['undergraduate', 'supervisors', 'co', 'must', 'author', 'as', 'an', 'with', '', '']","['Must I co-author with supervisors as an undergraduate?', 'Must I co-author with supervisors as an undergraduate?', 'Must I co-author with supervisors as an undergraduate?']"
88,668,88_infinitely_fields_number_many,"['infinitely', 'fields', 'number', 'many', 'class', 'of', '', '', '', '']","['Infinitely many number fields of class number 1', 'Infinitely many number fields of class number 1', 'Infinitely many number fields of class number 1']"
89,666,89_quantized_adc_error_,"['quantized', 'adc', 'error', '', '', '', '', '', '', '']","['Quantized ADC Error', 'Quantized ADC Error', 'Quantized ADC Error']"
90,641,90_church_neighborhood_catholicism_ok,"['church', 'neighborhood', 'catholicism', 'ok', 'join', 'local', 'different', 'don', 'like', 'if']","[""In Catholicism, is it OK to join a church in a different neighborhood if I don't like the local one?"", ""In Catholicism, is it OK to join a church in a different neighborhood if I don't like the local one?"", ""In Catholicism, is it OK to join a church in a different neighborhood if I don't like the local one?""]"
91,628,91_subsets_matrices_dot_product,"['subsets', 'matrices', 'dot', 'product', 'expected', 'working', 'command', 'as', 'not', 'with']","['Subsets command not working as expected with dot product of matrices', 'Subsets command not working as expected with dot product of matrices', 'Subsets command not working as expected with dot product of matrices']"
92,624,92_simpson_results_paradox_interpret,"['simpson', 'results', 'paradox', 'interpret', 'how', '', '', '', '', '']","[""Simpson's paradox: How interpret results?"", ""Simpson's paradox: How interpret results?"", ""Simpson's paradox: How interpret results?""]"
93,609,93_radii_centers_circles_finding,"['radii', 'centers', 'circles', 'finding', 'dense', 'image', 'multiple', 'and', 'of', 'in']","['Finding centers and radii of multiple circles in a dense image', 'Finding centers and radii of multiple circles in a dense image', 'Finding centers and radii of multiple circles in a dense image']"
94,572,94_attune_artificers_14th_race,"['attune', 'artificers', '14th', 'race', 'magic', 'level', 'sub', 'items', 'specific', 'use']","['Can 14th level Artificers attune / use sub-race specific magic items?', 'Can 14th level Artificers attune / use sub-race specific magic items?', 'Can 14th level Artificers attune / use sub-race specific magic items?']"
